HR,Irradiance,Temperature,Humidity,POWER
10,663.08,31.05,44.35,11.8514353
11,805.67,32.28,40.52,14.83442492
12,846.53,33.12,38.24,15.91117062
13,715.92,33.57,36.93,13.62974548
14,611.97,33.51,36.7,11.66308912
15,427.3,32.91,38.19,8.08047435
16,209.75,31.49,43.78,3.918824875
17,26.27,27.87,62.26,0.597977705
18,0,25.31,68.84,0
19,0,24.45,71.61,0
20,0,23.85,73.96,0
21,0,23.51,75.14,0
22,0,23.19,76.05,0
23,0,22.5,79.67,0
0,0,21.7,84.99,0
1,0,21.15,90.2,0
2,0,20.76,95.83,0
3,0,20.5,100,0
4,0,20.44,100,0
5,0,20.52,100,0
6,42.55,21.23,100,0.626063925
7,197.1,24.02,89.9,2.9395789
8,365.95,26.55,78.41,5.824500125
9,585.75,28.93,65.74,9.912148875
10,756.9,31.07,52.68,13.52097235
11,843.12,32.54,44.89,15.61750616
12,811.33,33.35,41.34,15.33852248
13,724.7,33.69,39.55,13.83443935
14,579.2,33.56,39.12,11.0590784
15,389.6,33.04,39.93,7.4035728
16,189.75,32.04,43.48,3.607378
17,23.67,29.16,62.17,0.56936024
18,0,27,69.51,0
19,0,25.97,73.22,0
20,0,24.88,77.08,0
21,0,24.24,79.44,0
22,0,24.1,78.91,0
23,0,23.81,79.5,0
0,0,23.13,82.74,0
1,0,22.43,86.74,0
2,0,21.86,90.47,0
3,0,21.38,94.26,0
4,0,21.02,97.72,0
5,0,20.79,100,0
6,37.47,21.34,98.51,0.56033691
7,205.65,24.03,86.9,3.064983775
8,387.08,26.78,74.9,6.19625108
9,573.97,29.26,62.54,9.79985049
10,630.58,31.1,53.33,11.2896421
11,804.67,32.54,45.73,14.91029531
12,783.28,33.48,41.02,14.85819648
13,631.92,33.85,39.14,12.1254214
14,544.28,33.8,38.54,10.4595488
15,377.35,33.35,39.15,7.228142625
16,189.27,32.55,42,3.642094825
17,23.98,30.12,58.58,0.58494992
18,0,28.59,61.02,0
19,0,27.59,65.83,0
20,0,26.72,70.34,0
21,0,25.92,74.66,0
22,0,25.22,77.19,0
23,0,24.56,79.68,0
0,0,23.86,83.07,0
1,0,23.18,86.61,0
2,0,22.61,89.73,0
3,0,22.2,92.27,0
4,0,21.86,94.71,0
5,0,21.53,97.35,0
6,32.95,21.85,96.89,0.507543375
7,163.6,24.29,86.16,2.4717298
8,308.02,27.06,73.49,4.98583454
9,471.02,29.63,60.64,8.13667017
10,657.03,31.49,51.88,11.87430612
11,714.78,32.75,46.56,13.32449525
12,751.3,33.53,43.33,14.27336505
13,689,33.92,41.45,13.230646
14,549.1,33.91,40.8,10.57811645
15,363.05,33.4,41.61,6.968079
16,180.27,32.47,44.96,3.470027605
17,22.58,29.94,62.8,0.55889534
18,0,28.15,68.93,0
19,0,27.12,72.13,0
20,0,26.37,74.67,0
21,0,25.81,77.91,0
22,0,25.55,80.02,0
23,0,25.44,79.8,0
0,0,24.93,81.66,0
1,0,24.27,84.94,0
2,0,23.7,87.74,0
3,0,22.99,90.41,0
4,0,22.41,92.98,0
5,0,22.01,95.54,0
6,32.92,22.26,95.47,0.51320964
7,119.75,24.54,85.36,1.84146175
8,258.35,27.26,73.38,4.21799195
9,479.23,29.56,62.45,8.26182996
10,604.28,31.28,54.06,10.87189528
11,767.1,32.59,47.47,14.23653005
12,799.05,33.45,43.24,15.14413763
13,654.92,33.86,40.81,12.56496604
14,549.28,33.57,40.41,10.49749832
15,348.77,32.83,42.39,6.610441095
16,168.95,31.44,47.88,3.1838671
17,24.1,29.03,66.48,0.57520535
18,0,27.62,69.54,0
19,0,26.81,72.67,0
20,0,26.17,74.92,0
21,0,25.64,75.49,0
22,0,25.39,74.51,0
23,0,25.15,73.95,0
0,0,24.29,78.17,0
1,0,23.53,81.82,0
2,0,22.73,85.84,0
3,0,22.01,89.43,0
4,0,21.48,91.9,0
5,0,20.99,94.6,0
6,32.83,21.23,94.68,0.496753905
7,170.38,23.65,84.37,2.52219415
8,331.52,26.73,72.96,5.31088832
9,539.33,29.21,62.25,9.201710685
10,714.5,31.06,54.1,12.7659415
11,719.6,32.48,47.85,13.3261736
12,797.6,33.54,42.8,15.1491768
13,705.88,34.18,39.52,13.63419028
14,527.4,34.31,38.12,10.2605423
15,368.38,33.93,38.43,7.15603503
16,183.65,33.28,40.5,3.5990299
17,24.98,31.09,54.92,0.61315769
18,0,28.76,63.88,0
19,0,27.45,69.51,0
20,0,26.4,74.88,0
21,0,25.56,79.48,0
22,0,24.92,83.45,0
23,0,24.33,86.72,0
0,0,23.83,89.48,0
1,0,23.38,92.27,0
2,0,22.97,94.88,0
3,0,22.64,96.79,0
4,0,22.4,97.78,0
5,0,22.27,98.25,0
6,32.7,22.64,96.85,0.5157726
7,157.7,24.38,89.46,2.3915017
8,355.83,26.74,78.57,5.69606489
9,502.55,29.13,65.59,8.562239175
10,644.83,30.86,56.52,11.47286671
11,661.8,31.99,50.66,12.1186919
12,579.67,32.48,47.35,10.76621922
13,549.3,32.24,46.74,10.1591194
14,462.12,31.96,46.94,8.51915984
15,267.92,31.63,47.59,4.96813932
16,130.4,30.95,51.25,2.465146
17,16.45,29.14,64.85,0.44739635
18,0,26.85,76.92,0
19,0,26.06,78.06,0
20,0,25.47,80.9,0
21,0,24.93,84.8,0
22,0,24.59,87.84,0
23,0,24.17,90.81,0
0,0,23.61,93.93,0
1,0,23.15,96.35,0
2,0,22.82,97.69,0
3,0,22.52,98.52,0
4,0,22.24,99.14,0
5,0,21.97,99.65,0
6,30.98,22.31,97.68,0.48719871
7,180.77,24.1,90.32,2.70833815
8,361.65,26.81,76.57,5.799313925
9,574.33,29.32,63.43,9.82144752
10,661.78,30.86,56.6,11.77181386
11,720.78,31.83,52.19,13.13701733
12,715.08,32.42,49.04,13.23385212
13,637.7,32.65,47.05,11.89078225
14,527.4,32.54,46.43,9.8404682
15,331.02,32.05,47.26,6.16546095
16,157.88,31.32,50.61,2.97721072
17,22.5,29.93,60.14,0.55741625
18,0,28.16,70.68,0
19,0,27.06,76.86,0
20,0,26.19,81.09,0
21,0,25.52,83.56,0
22,0,24.88,86.3,0
23,0,24.29,89.02,0
0,0,23.78,91.76,0
1,0,23.37,94.16,0
2,0,23.04,95.96,0
3,0,22.81,97.02,0
4,0,22.67,97.49,0
5,0,22.58,97.74,0
6,26.8,22.9,96.81,0.436674
7,94.28,24.18,92.52,1.44941068
8,349.23,25.78,85.46,5.44102973
9,408.73,27.6,74.29,6.6991641
10,554.95,28.93,66.12,9.405679075
11,649,29.68,61.64,11.211794
12,691.6,30.08,58.71,12.0749976
13,658.22,30.28,56.96,11.56723072
14,526.6,30.13,56.54,9.2546561
15,365.27,29.84,57.01,6.42460806
16,163.85,29.26,60.48,2.93185045
17,19.83,28.19,69.46,0.495915965
18,0,27.38,72.71,0
19,0,27.11,72.07,0
20,0,26.67,72.81,0
21,0,26.24,73.37,0
22,0,25.78,75.11,0
23,0,25.06,79.21,0
0,0,24.04,84.95,0
1,0,23.31,88.5,0
2,0,22.88,89.82,0
3,0,22.43,91.02,0
4,0,22.01,92.17,0
5,0,21.65,93.06,0
6,18.58,21.53,92.6,0.30968733
7,120.78,22.21,88.2,1.73006071
8,257.35,23.8,77.91,3.801281
9,409.62,26.16,62.82,6.44812164
10,586.33,28.22,51.37,9.74454217
11,678.15,29.66,44.23,11.70433055
12,527.95,30.65,39.91,9.381562875
13,463.1,31.06,37.65,8.3393737
14,348.58,30.93,37.14,6.29888573
15,217.12,30.29,39.35,3.92365416
16,91.8,28.65,48.1,1.6877815
17,14.43,25.68,64.88,0.39086558
18,0,23.98,68.02,0
19,0,23.29,69.18,0
20,0,22.71,70.97,0
21,0,22.21,72.95,0
22,0,21.78,74.57,0
23,0,21.35,76.09,0
0,0,20.89,77.65,0
1,0,20.38,79.43,0
2,0,19.81,81.44,0
3,0,19.24,83.13,0
4,0,18.76,84.19,0
5,0,18.36,85.19,0
6,17.58,18.34,85.34,0.27101274
7,98.8,19.9,77.34,1.325254
8,230.2,21.98,69.11,3.2201582
9,381.02,25.24,52.55,5.84645016
10,557.03,27.93,41.51,9.189894055
11,568.28,29.69,36.44,9.83355494
12,733.12,31.18,33.74,13.15560672
13,660.67,31.86,32.33,12.07953829
14,508.12,31.92,32.23,9.34408568
15,325.17,31.42,33.38,5.96696613
16,137.88,30.35,37.33,2.5601461
17,21.38,26.98,58.04,0.50974958
18,0,24.77,63.11,0
19,0,23.82,65.81,0
20,0,23.06,68.39,0
21,0,22.6,69.55,0
22,0,22.46,68.59,0
23,0,22.48,66.36,0
0,0,22.35,65.41,0
1,0,22.21,64.59,0
2,0,22.12,64.81,0
3,0,21.92,66.02,0
4,0,21.59,67.86,0
5,0,21.08,70.67,0
6,24.6,20.86,75.04,0.3831702
7,128.23,22.44,66.07,1.84572904
8,301.27,24.43,57.94,4.521774245
9,488.88,26.97,49.93,7.85659212
10,671.65,28.8,44.03,11.3232715
11,768.92,30.32,40.23,13.48459448
12,599.45,31.53,37.94,10.87323383
13,456.98,32.16,37.09,8.45708956
14,377.92,32.33,36.9,7.05536912
15,234.82,31.98,38.32,4.40986962
16,105.53,31.25,41.83,2.039753125
17,17.17,29.51,53.32,0.462396515
18,0,28.26,54.86,0
19,0,26.93,61.02,0
20,0,26,64.87,0
21,0,25.36,67.21,0
22,0,24.68,69.56,0
23,0,24.02,73.02,0
0,0,23.34,77.17,0
1,0,22.58,81.38,0
2,0,22.13,83.66,0
3,0,22.26,83.19,0
4,0,22.34,82.72,0
5,0,22.22,83.12,0
6,22.85,22.28,84.24,0.3747816
7,116.78,23.68,78.17,1.75233268
8,291.7,25.75,68.12,4.55394875
9,476.95,28.7,56.11,8.03837175
10,621.78,30.58,49.2,10.98798958
11,656.05,31.86,45.38,11.97597635
12,591.88,32.9,42.51,11.1023334
13,542.83,33.36,41.05,10.31457646
14,434.75,33.27,40.77,8.279172125
15,268.12,32.61,43.11,5.08997694
16,117.7,31.25,49.7,2.25653125
17,19.98,28.57,67.56,0.50179787
18,0,26.86,71.87,0
19,0,26.05,74.84,0
20,0,25.35,78.39,0
21,0,24.86,81.18,0
22,0,24.57,82.68,0
23,0,24.32,83.24,0
0,0,24.14,83.04,0
1,0,24.04,82.01,0
2,0,23.78,82.29,0
3,0,23.4,83.39,0
4,0,23.08,84.54,0
5,0,22.82,85.82,0
6,22.33,22.56,88.26,0.37043166
7,94.82,23.72,84.73,1.43768368
8,274.65,26.48,71.03,4.3826669
9,436.17,28.99,58,7.415693235
10,571.67,30.53,51.03,10.0976508
11,702.7,31.72,46.25,12.7754648
12,632.4,32.72,42.66,11.8029576
13,530.35,33.22,40.71,10.04701465
14,445.35,33.36,39.78,8.4956567
15,284.67,32.96,40.65,5.43973794
16,131.27,32.06,44.72,2.54609479
17,21.77,29.61,61.87,0.541711865
18,0,28.09,63.86,0
19,0,27.33,65.78,0
20,0,26.67,67.82,0
21,0,26.14,69.55,0
22,0,25.64,71.5,0
23,0,25.08,73.37,0
0,0,24.49,76.12,0
1,0,23.78,80.14,0
2,0,23.05,84.49,0
3,0,22.42,88.85,0
4,0,21.93,92.74,0
5,0,21.55,96.1,0
6,22.98,21.83,96.29,0.37191903
7,133.95,23.96,87.97,2.0165614
8,257.5,26.42,77.14,4.1070425
9,527.65,29.32,61.16,9.0305016
10,590.9,31.52,50.14,10.6972006
11,719.8,32.97,44.25,13.4885627
12,722.55,33.71,40.94,13.79028473
13,642.88,34.09,38.97,12.40290064
14,516.67,34.09,38.16,10.00348864
15,343.12,33.54,39.34,6.61541016
16,153.12,32.5,43.93,2.97358
17,24.58,30.1,62.96,0.5951111
18,0,28.29,69.53,0
19,0,27.34,72.4,0
20,0,26.55,75.22,0
21,0,25.77,78.87,0
22,0,24.95,82.86,0
23,0,24.26,86.18,0
0,0,23.7,89.41,0
1,0,23.28,92.25,0
2,0,22.96,94.56,0
3,0,22.76,95.98,0
4,0,22.55,97.22,0
5,0,22.36,98.22,0
6,21.33,22.56,97.27,0.35652966
7,122.12,24.24,89.65,1.86003496
8,277.8,26.78,76.85,4.4695178
9,469.2,29.29,62.97,8.0337906
10,617.67,31.2,53.89,11.0883493
11,689.88,32.61,47.76,12.82069406
12,676.53,33.73,43.12,12.92569811
13,594.12,34.23,40.14,11.50947742
14,497.95,34.2,38.71,9.670763
15,292.67,33.62,38.94,5.67531693
16,119.18,32.28,43.99,2.33813368
17,19.3,29.53,61.88,0.49884305
18,0,27.62,68.07,0
19,0,26.8,71,0
20,0,26.08,74.17,0
21,0,25.52,76.88,0
22,0,25.2,78.11,0
23,0,24.95,78.42,0
0,0,24.46,80.46,0
1,0,23.81,83.67,0
2,0,23.18,86.76,0
3,0,22.63,89.75,0
4,0,22.2,92.66,0
5,0,21.86,95.52,0
6,20.3,22.1,95.7,0.3380085
7,132.45,24.03,87.03,1.998935575
8,267.38,26.5,74.36,4.2711815
9,449.58,29.26,59.86,7.69554486
10,625.55,31.37,50.08,11.27638908
11,693.58,32.84,43.9,12.96065024
12,653.22,33.58,40.11,12.44038242
13,601.8,33.98,37.55,11.5888738
14,492.02,33.99,35.99,9.51076691
15,312.08,33.53,36.02,6.02911908
16,139.18,32.47,39.95,2.71555357
17,21.9,29.6,58.77,0.543833
18,0,27.91,61.98,0
19,0,27.23,63.01,0
20,0,26.7,63.81,0
21,0,26.35,64.11,0
22,0,25.8,65.95,0
23,0,24.73,70.97,0
0,0,23.69,76.93,0
1,0,22.76,83.07,0
2,0,22.14,88.38,0
3,0,21.73,93.35,0
4,0,21.47,96.87,0
5,0,21.28,99.69,0
6,20.75,21.65,99.34,0.339969375
7,127.45,24.07,88.68,1.928412175
8,263.1,26.74,75.04,4.2325073
9,421.98,29.4,59.69,7.2552204
10,509.88,31.47,48.73,9.23271562
11,638.22,32.85,42.99,11.93781215
12,728.15,33.73,39.8,13.90278728
13,699.45,34.05,38.39,13.47026013
14,581.17,33.84,38.67,11.16944426
15,390.08,33.09,40.56,7.42128624
16,184.4,31.76,45.8,3.4869448
17,30.25,29.21,62.49,0.681058625
18,0,27.47,70.41,0
19,0,26.74,74.07,0
20,0,26.14,78.16,0
21,0,25.58,82.33,0
22,0,25.06,86.36,0
23,0,24.61,89.84,0
0,0,24.31,92,0
1,0,24.08,93.39,0
2,0,23.88,94.23,0
3,0,23.68,94.99,0
4,0,23.49,95.54,0
5,0,23.31,95.98,0
6,15.65,23.38,95.38,0.28334115
7,107.15,24.72,89.17,1.6637491
8,262.17,26.76,77.92,4.22018864
9,415.5,28.97,65.85,7.06479075
10,524.62,30.74,57.66,9.32439346
11,628.85,31.92,52.5,11.5009889
12,652.53,32.27,49.82,12.0427019
13,532.62,31.97,49.43,9.78986263
14,403.58,31.41,51,7.35782651
15,299.17,30.52,54.21,5.38068828
16,136.73,29.5,59.52,2.48782825
17,21,27.96,71.89,0.512972
18,0,26.64,81.3,0
19,0,26.14,83.1,0
20,0,25.67,84.51,0
21,0,25.19,85.62,0
22,0,24.73,86.75,0
23,0,24.33,87.79,0
0,0,23.97,88.98,0
1,0,23.63,90.53,0
2,0,23.3,92.4,0
3,0,22.97,94.55,0
4,0,22.76,96.16,0
5,0,22.6,97.36,0
6,16.25,22.86,96.47,0.28810125
7,86.97,24.32,90.06,1.34793718
8,236.85,26.01,81.65,3.740398325
9,343.45,27.69,72.11,5.657496225
10,403.3,29.1,64.16,6.8935885
11,536.35,30.15,58.55,9.398241125
12,517.7,30.64,55.45,9.1994226
13,528.4,30.66,54.28,9.4018348
14,437.6,30.5,54.11,7.78706
15,277.9,30.28,54.65,4.9787904
16,137.07,29.88,57.4,2.51705572
17,21.33,28.49,68.23,0.523448765
18,0,26.99,75.57,0
19,0,25.95,80.25,0
20,0,25.25,82.79,0
21,0,24.72,84.07,0
22,0,24.25,85.64,0
23,0,23.85,87.53,0
0,0,23.46,90,0
1,0,23.14,92.54,0
2,0,22.89,94.7,0
3,0,22.66,96.48,0
4,0,22.44,97.87,0
5,0,22.24,98.89,0
6,18.08,22.57,97.59,0.31142952
7,104,23.94,91.64,1.580392
8,207.88,25.46,85.03,3.24123116
9,336.38,27.25,75.05,5.47628475
10,457.95,28.66,66.65,7.72349365
11,554.62,29.41,61.95,9.52994339
12,485.23,29.91,58.6,8.470565685
13,372.88,30.34,55.77,6.61923064
14,303.3,30.34,54.6,5.4183299
15,192.6,30.04,54.81,3.4758168
16,93.05,29.53,57.84,1.745432425
17,19.5,28.24,69.76,0.490931
18,0,27.42,70.96,0
19,0,27.24,70.48,0
20,0,27.07,70.55,0
21,0,26.96,70.28,0
22,0,26.53,71.27,0
23,0,26.02,73.35,0
0,0,25.32,76.63,0
1,0,24.2,80.31,0
2,0,23.34,81.57,0
3,0,22.58,80.35,0
4,0,21.78,78.9,0
5,0,20.93,77.36,0
6,15.95,20.49,73.63,0.266879475
7,128.55,21.84,62.04,1.8154519
8,270.23,24.61,44.87,4.086024635
9,447.77,27.42,33.1,7.29417153
10,583.72,29.84,27.15,10.12714216
11,726.53,31.67,25.68,13.1886298
12,795.12,32.97,26.73,14.89849788
13,747.28,33.63,28.19,14.24126188
14,630.2,33.68,29.4,12.0545612
15,429.73,33.12,31.03,8.16618342
16,213.5,31.79,35.77,4.01484925
17,36.62,28.34,56.16,0.77433986
18,0,26.07,63.79,0
19,0,25.33,66.03,0
20,0,24.74,67.99,0
21,0,24.18,69.82,0
22,0,23.55,71.17,0
23,0,22.88,72.03,0
0,0,22.1,72.87,0
1,0,21.41,72.74,0
2,0,20.91,71.2,0
3,0,20.42,69.24,0
4,0,19.8,68.19,0
5,0,18.92,69.28,0
6,19.42,18.6,67.94,0.2953704
7,158.12,20.46,54.76,2.11876084
8,353.3,23.23,39.32,5.09809655
9,557.4,25.93,29.04,8.6842719
10,724.78,28.38,23.92,12.07409038
11,820.78,30.45,21.4,14.43466295
12,843.25,31.91,20.4,15.39083588
13,764.6,32.61,20.29,14.2173727
14,623.72,32.66,20.79,11.64576284
15,425.4,32.12,22.4,7.8939816
16,224,30.68,27.5,4.092544
17,38.45,26.65,50.13,0.775299125
18,0,24.41,56.09,0
19,0,23.7,58.42,0
20,0,23.2,60.02,0
21,0,22.89,59.93,0
22,0,22.85,58.37,0
23,0,22.58,58.28,0
0,0,21.73,61.52,0
1,0,20.54,66.73,0
2,0,19.48,71.15,0
3,0,18.75,73.66,0
4,0,18.18,75.77,0
5,0,17.66,77.79,0
6,20.05,17.69,77.92,0.294795525
7,169.68,20.29,64.14,2.25556324
8,351.15,23.12,52.28,5.0501771
9,544,26.42,39.51,8.597616
10,685.92,29.5,29.96,11.777788
11,793.08,31.53,26.21,14.33666558
12,811.45,32.63,25.21,15.07786358
13,738.38,33.11,25.17,13.90041781
14,592.97,33,25.83,11.169242
15,395.27,32.27,27.75,7.372175805
16,214,30.46,35.48,3.895798
17,36.85,26.55,53.42,0.748452875
18,0,24.29,59.81,0
19,0,23.52,62.76,0
20,0,22.91,65.67,0
21,0,22.51,67.64,0
22,0,22.23,69.97,0
23,0,22,73.07,0
0,0,21.7,75.77,0
1,0,21.13,78.58,0
2,0,20.31,81.68,0
3,0,19.81,84.09,0
4,0,19.49,86.22,0
5,0,19.13,88.66,0
6,19.08,19.34,89.93,0.29760324
7,165.18,21.26,80.32,2.26970206
8,342.62,23.65,67.9,5.01115835
9,539.95,26.9,52.18,8.65090725
10,692.42,29.93,42.98,12.02243377
11,775,31.94,38.94,14.155325
12,766.35,33.32,35.93,14.4844644
13,735.72,34.04,33.71,14.15870896
14,593.88,34.13,32.59,11.48815598
15,396.38,33.59,32.95,7.62790689
16,210.55,32.13,37.63,3.993799675
17,37.03,28.46,54.86,0.78310571
18,0,26.08,61.2,0
19,0,25.16,63.62,0
20,0,24.29,67.28,0
21,0,23.52,71.74,0
22,0,22.88,76.18,0
23,0,22.36,80.11,0
0,0,21.92,83.44,0
1,0,21.62,85.35,0
2,0,21.49,85.39,0
3,0,21.39,85.36,0
4,0,21.28,85.53,0
5,0,20.95,87.08,0
6,16.95,20.66,89.59,0.28114665
7,140.35,22.18,83.03,1.99714585
8,314.67,25.2,68.73,4.8283703
9,496.7,28.48,52.38,8.3183322
10,644.9,30.6,42.15,11.398648
11,730.88,32.12,36.12,13.41493952
12,771.35,33.11,32.47,14.50529183
13,695.2,33.61,30.47,13.2515524
14,559.83,33.56,29.51,10.69391516
15,369.67,32.93,30.15,7.014217395
16,199.4,31.24,36.02,3.7109152
17,35.17,27.52,53.29,0.73743278
18,0,25.21,60,0
19,0,24.4,62.71,0
20,0,23.79,65.45,0
21,0,23.35,67.81,0
22,0,23.02,69.72,0
23,0,22.69,71.51,0
0,0,22.36,73.17,0
1,0,21.99,74.88,0
2,0,21.65,76.37,0
3,0,21.27,78.06,0
4,0,20.92,79.72,0
5,0,20.62,81.44,0
6,15.1,20.55,83.52,0.25626225
7,108.93,22.08,74.87,1.56081598
8,252.48,23.91,65.65,3.74335856
9,423.08,27.1,50.92,6.8360106
10,564.4,29.55,42.21,9.721609
11,605.8,31.39,36.84,10.9389779
12,713.8,33.23,32.84,13.4705583
13,635.22,34.02,31.24,12.23665798
14,495.4,34.13,30.96,9.6063509
15,320.62,33.67,32.05,6.21019893
16,175.4,32.21,37.31,3.3600853
17,28.62,28.39,57.34,0.64295981
18,0,26.01,63.34,0
19,0,25.14,65.55,0
20,0,24.44,68.14,0
21,0,23.93,70.48,0
22,0,23.58,72.07,0
23,0,23.33,72.87,0
0,0,23.15,72.82,0
1,0,22.9,72.83,0
2,0,22.34,74.34,0
3,0,21.79,76.22,0
4,0,21.44,77.11,0
5,0,21.33,76.7,0
6,12.12,21.63,76.32,0.22342002
7,98.53,22.46,77.07,1.43533021
8,200.88,25.13,62.75,3.10495148
9,340.35,29.03,45.72,5.812474725
10,475.4,30.96,39.96,8.5060228
11,593.22,32.3,36.17,10.9570277
12,652.6,33.43,32.95,12.3846381
13,593.28,33.89,31.14,11.40261664
14,498.35,33.79,30.53,9.586473425
15,330.88,33.12,31.53,6.32223552
16,164.45,31.7,37.73,3.12256675
17,30.58,28.45,57.01,0.67617545
18,0,26.44,60.93,0
19,0,25.39,63.84,0
20,0,24.53,66.6,0
21,0,23.88,68.69,0
22,0,23.5,69.04,0
23,0,23.36,67.72,0
0,0,23.17,66.71,0
1,0,23.09,64.85,0
2,0,22.89,64.5,0
3,0,22.37,66.39,0
4,0,21.94,67.46,0
5,0,21.6,68.12,0
6,13.8,21.21,71.48,0.2434641
7,90.68,22.29,68.94,1.31961574
8,222.23,24.19,59.85,3.332447165
9,423.92,28.26,42.06,7.07069064
10,517.88,30.79,34.08,9.21753634
11,579.42,32.29,30.69,10.70208731
12,636.95,33.26,28.54,12.04179315
13,584.12,33.78,27.46,11.19965812
14,463.7,33.75,27.22,8.92131875
15,312.58,33.16,28.4,5.98649376
16,171.38,31.57,34.97,3.23738497
17,31.23,27.77,54.8,0.677378195
18,0,25.48,59.37,0
19,0,24.6,61.47,0
20,0,23.92,63.81,0
21,0,23.48,65.33,0
22,0,23.26,65.38,0
23,0,23.2,64.35,0
0,0,23.09,63.48,0
1,0,22.72,64.27,0
2,0,22.06,66.81,0
3,0,21.44,69.1,0
4,0,20.73,72.4,0
5,0,19.99,76.36,0
6,13.55,19.63,79.64,0.230506425
7,110.28,21.92,66.25,1.57135192
8,238.88,24.51,55.47,3.61052696
9,386.05,27.85,43.5,6.375859125
10,550.95,30.59,35.47,9.750164725
11,650.33,32.38,31.5,12.02469593
12,736.85,33.48,29.19,13.9845696
13,667.08,33.98,28.01,12.83187028
14,548.47,33.86,27.59,10.55379989
15,366.4,33.15,28.48,6.989772
16,200.05,31.45,34.68,3.741395125
17,38.05,27.65,53.37,0.786124625
18,0,25.44,59.55,0
19,0,24.74,61.69,0
20,0,24.18,63.57,0
21,0,23.67,65.08,0
22,0,23.11,66.71,0
23,0,22.4,69.27,0
0,0,21.59,72.37,0
1,0,20.81,75.31,0
2,0,20.11,78.09,0
3,0,19.47,80.49,0
4,0,18.9,82.79,0
5,0,18.44,84.96,0
6,14.62,18.52,84.89,0.23666808
7,132.77,20.32,76.28,1.78193638
8,297.27,23.3,61.28,4.31163845
9,476.92,27.07,42.44,7.68805098
10,622.35,30.05,31,10.84954038
11,740.03,31.87,26.39,13.49825275
12,784.47,32.95,24.18,14.69349143
13,724,33.45,23,13.74301
14,585.47,33.38,22.77,11.12985737
15,396.65,32.71,23.8,7.475927175
16,217.18,30.97,30.03,4.00115407
17,43.1,26.76,49.39,0.8506352
18,0,24.35,53.75,0
19,0,23.47,55.58,0
20,0,22.71,58.69,0
21,0,22.02,62.64,0
22,0,21.39,66.69,0
23,0,20.8,70.53,0
0,0,20.26,74,0
1,0,19.83,76.62,0
2,0,19.54,78.05,0
3,0,19.11,80.01,0
4,0,18.35,83.7,0
5,0,17.6,87.54,0
6,14.73,17.62,88.41,0.23203167
7,131.15,20.18,75.65,1.75278565
8,310.17,23.5,58.02,4.52318525
9,458.55,27.33,39.71,7.449039675
10,625.15,30.09,31.17,10.90915608
11,728.05,31.97,27.39,13.31427883
12,828.53,33.33,25.2,15.65369471
13,756.25,34.01,24.03,14.53996563
14,618.55,34.04,23.74,11.9345114
15,422.33,33.41,24.58,8.083257885
16,227.65,31.76,30.64,4.2672613
17,45.12,27.74,50.89,0.90243296
18,0,25.33,55.76,0
19,0,24.41,57.57,0
20,0,23.56,60.36,0
21,0,22.82,63.64,0
22,0,22.19,66.88,0
23,0,21.65,70.19,0
0,0,21.16,73.67,0
1,0,20.74,76.85,0
2,0,20.44,78.97,0
3,0,20.14,80.91,0
4,0,19.54,84,0
5,0,18.86,87.1,0
6,15.1,18.9,87,0.2450505
7,148.35,20.76,78.02,2.0121982
8,361.25,23.71,66.82,5.289044375
9,491.65,27.09,52.21,7.927146825
10,647.85,29.65,41.28,11.17337613
11,744.85,31.5,34.4,13.46143625
12,759.78,32.77,30,14.17327077
13,688,33.42,27.51,13.056832
14,557.85,33.46,26.16,10.63148495
15,430.48,32.86,26.36,8.12980776
16,234.1,31.18,32.67,4.3225321
17,42.85,27.32,51.47,0.8574854
18,0,25.11,54.59,0
19,0,24.29,54.92,0
20,0,23.6,56.28,0
21,0,22.94,58.42,0
22,0,22.26,60.83,0
23,0,21.63,63.68,0
0,0,21.06,66.81,0
1,0,20.51,70.25,0
2,0,20,73.62,0
3,0,19.52,76.61,0
4,0,19.11,79.26,0
5,0,18.78,81.18,0
6,12.23,18.84,81.56,0.20954844
7,114.32,20.58,71.84,1.55741752
8,268.23,22.6,62.26,3.8137616
9,402.9,25.95,45.05,6.30573975
10,569.67,29.06,32.44,9.68583709
11,655.25,31,27.64,11.707925
12,679.62,32.31,25.31,12.54990999
13,616.42,32.9,24.4,11.5676731
14,491.6,32.87,24.39,9.2550014
15,319.08,32.35,25.57,5.9915571
16,167.68,30.85,32.4,3.1166176
17,35.67,27.25,54.27,0.741165875
18,0,25.07,56.69,0
19,0,23.96,58.49,0
20,0,23.08,60.34,0
21,0,22.33,62.65,0
22,0,21.71,64.82,0
23,0,21.16,66.92,0
0,0,20.65,68.47,0
1,0,20.1,69.75,0
2,0,19.5,71.13,0
3,0,18.86,73.23,0
4,0,18.26,75.96,0
5,0,17.72,78.84,0
6,11.75,17.72,79.57,0.197757
7,101.3,19.66,68.74,1.3460761
8,249.88,22.16,59.73,3.50885336
9,418.7,26.65,37.16,6.68138475
10,564.92,30.23,24.62,9.90333922
11,651.45,32.15,21.8,11.97779038
12,619.92,33.09,21.06,11.67561876
13,575.62,33.56,20.92,10.98158824
14,488.48,33.46,21.42,9.32684336
15,328.88,32.79,22.95,6.23608884
16,168.3,30.65,34.15,3.11240275
17,35.62,26.73,48.97,0.73203017
18,0,24.57,51.76,0
19,0,23.64,53.92,0
