HR,Irradiance,Temperature,Humidity,POWER
19,0,23.63,55.23,0
20,0,22.86,57.9,0
21,0,22.19,61.02,0
22,0,21.58,64.24,0
23,0,21.02,67.9,0
0,0,20.5,71.94,0
1,0,20.06,76.22,0
2,0,19.74,80.45,0
3,0,19.59,84.03,0
4,0,19.64,86.8,0
5,0,19.68,88.76,0
6,10.38,19.77,88.98,0.19127067
7,107.6,20.9,82.38,1.485478
8,257.3,23.4,69.9,3.754244
9,434.02,26.52,52.82,6.89716968
10,567.75,29.14,39.71,9.67396825
11,685.17,31.09,32.42,12.26525839
12,722.75,31.64,29.26,13.120827
13,626.5,32.15,26.8,11.54326375
14,496.33,32.27,24.97,9.208693595
15,328.58,31.73,24.41,6.07380453
16,167.32,29.84,29.92,3.03422296
17,38.75,26.16,42.33,0.7714775
18,0,24.09,46.62,0
19,0,23.19,49.48,0
20,0,22.27,55.17,0
21,0,21.49,61.61,0
22,0,21.12,65.47,0
23,0,20.94,66.45,0
0,0,20.38,68.81,0
1,0,19.68,71.55,0
2,0,18.85,74.96,0
3,0,17.84,78.71,0
4,0,17.28,79.27,0
5,0,16.75,79.57,0
6,11.07,16.59,77.97,0.184155585
7,100.15,18.28,67.53,1.2693964
8,245.55,21.52,45.15,3.3787187
9,444.15,24.6,30.02,6.672303
10,599.88,27.23,22.96,9.70017958
11,697.1,29.36,19.53,11.9342102
12,699.55,30.83,17.93,12.44851943
13,633.7,31.51,17.33,11.49192415
14,510,31.41,17.55,9.261095
15,336.25,30.64,18.83,6.0471525
16,170.27,28.31,28.48,2.967667165
17,38.33,24.42,42.72,0.73494587
18,0,22.31,47.22,0
19,0,21.46,49.77,0
20,0,20.68,53.08,0
21,0,19.93,56.56,0
22,0,19.22,59.96,0
23,0,18.54,63.22,0
0,0,17.92,65.63,0
1,0,17.3,66.95,0
2,0,16.63,67.93,0
3,0,15.95,68.87,0
4,0,15.3,69.94,0
5,0,14.73,71.29,0
6,10,14.75,70.51,0.163875
7,87.3,16.93,59.01,1.06247005
8,204.57,19.71,48.42,2.661571115
9,367.12,23.34,35.17,5.32256136
10,575.42,27.03,23.88,9.25694617
11,674.7,29.94,18.1,11.7303581
12,739,31.29,16.49,13.2967395
13,678.62,31.95,15.93,12.43168405
14,549.03,32.02,16.15,10.10983577
15,361.52,31.44,17.16,6.62048496
16,169,29.62,25.1,3.046351
17,40.1,25.14,44.91,0.7740263
18,0,22.51,47.25,0
19,0,21.46,47.67,0
20,0,20.57,48.18,0
21,0,19.76,49.36,0
22,0,19.04,50.96,0
23,0,18.37,53.19,0
0,0,17.72,56.23,0
1,0,17.13,58.97,0
2,0,16.62,60.73,0
3,0,16.12,61.94,0
4,0,15.56,62.81,0
5,0,15.01,63.07,0
6,8.52,15.07,60.4,0.14972838
7,80.03,16.97,50.36,0.981261595
8,209.27,19.99,38.32,2.747250785
9,314.8,23.74,26.22,4.6335084
10,422.5,27.49,18.35,6.91091125
11,517.75,30.49,14.54,9.155351375
12,649.97,31.87,14.23,11.87893226
13,586.88,32.6,14.79,10.9403296
14,473.58,32.67,15.64,8.87826137
15,302.23,32.03,16.93,5.639554605
16,164.88,29.83,28,2.99156668
17,38.6,25.33,43.85,0.7547321
18,0,22.81,45.21,0
19,0,21.67,45.18,0
20,0,20.67,44.86,0
21,0,19.79,43.77,0
22,0,19.07,42.06,0
23,0,18.4,41.03,0
0,0,17.73,40.98,0
1,0,16.99,42.43,0
2,0,16.2,45.54,0
3,0,15.36,50.23,0
4,0,14.61,55.19,0
5,0,14.01,58.89,0
6,10.52,14.01,59.24,0.16577334
7,98.2,16.08,49.83,1.1488252
8,324.17,18.99,39.12,4.065832235
9,466.67,22.7,26.15,6.60704655
